Site Name;State Terr;Oper Stat;
Runkle Stagefield AL;Alabama;Active;
Dillingham Mil Res;Hawaii;Active;
Def Gen Supply Center;Virginia;Active;
Fort Benning AL;Alabama;Active;
Syracuse MCRC;New York;Active;
Tinker Support Annex;Oklahoma;Active;
Fort Fisher Recreation Site;North Carolina;Active;
Barksdale AFB;Louisiana;Active;
Cannon AFB;New Mexico;Active;
Cannon AFB Site 2;New Mexico;Active;
Luke Air Force Auxiliary Field No 1;Arizona;Active;
Gulfport-Biloxi Regional Airport (ANG);Mississippi;Active;
NG Auburn Training Site;Maine;Active;
NG Bangor Training Site;Maine;Active;
NG Santa Fe - Onate Complex TS;New Mexico;Active;
NG TS BBTS;Delaware;Active;
NG Camp Murray;Washington;Active;
NG Williamstown;West Virginia;Active;
NG Camp Mabry;Texas;Active;
NG Mitchell Complex;South Dakota;Active;
Imperial Beach NOLF;California;Active;
NAS Lemoore CA;California;Active;
Harbor Drive;California;Active;
NGA Arnold Site;Missouri;Active;
Nellis AFB;Nevada;Active;
Naval Base Kitsap Bremerton WA;Washington;Active;
Fort Jackson;South Carolina;Active;
Hunt Stagefield AL;Alabama;Active;
Fort De Russy;Hawaii;Active;
Fort Detrick Forest Glen Annex;Maryland;Active;
SDA Area;Virginia;Active;
Redington Township;Maine;Active;
Bratenahl;Ohio;Active;
Charleston AFB;South Carolina;Active;
McEntire Joint National Guard Base;South Carolina;Active;
Schenectady ANG MAP;New York;Active;
Tulsa IAP;Oklahoma;Active;
Hulman Fld;Indiana;Active;
McConnell AFB;Kansas;Active;
NG Grayling Airfield;Michigan;Active;
NG Knightstown;Indiana;Active;
NG Camp Atterbury;Indiana;Active;
NG Rio Rancho TS;New Mexico;Active;
NG Sea Girt NJ NGTC;New Jersey;Active;
NG Floyd Edsall Training Center;Nevada;Active;
NG TS Keaukaha Mil Res;Hawaii;Active;
NOLF Santa Rosa;Florida;Active;
Agana;Guam;Active;
Barrigada - NAVBASE Guam;Guam;Active;
NAVBASE Ventura Cty Point Mugu CA;California;Active;
NAVSUPPFAC Beaufort SC;South Carolina;Active;
Chesapeake Bay Detach;Maryland;Active;
NAVPMOSSP Mtn View;California;Active;
Robins AFB;Georgia;Active;
Fort Leavenworth;Kansas;Active;
England Authority;Louisiana;Active;
MCRD San Diego;California;Active;
NNSY South Gate;Virginia;Active;
Naval Station Great Lakes IL;Illinois;Active;
NAS Kingsville TX;Texas;Active;
Davis Monthan AFB;Arizona;Active;
Fairchild AFB;Washington;Active;
Altus AFB;Oklahoma;Active;
Channel Islands ANG Station;California;Active;
Tucson IAP;Arizona;Active;
Barnes Map (ANG);Massachusetts;Active;
Kelly Field Annex;Texas;Active;
NG Camp Minden Training Site;Louisiana;Active;
NG Camp Bowie (State);Texas;Active;
NG Cumming;Georgia;Active;
Target B-20;Nevada;Active;
Fleming Key Magazine;Florida;Active;
Truman Annex;Florida;Active;
Camp Michael Monsoor;California;Active;
NAVPMOSSP Magna Utah;Utah;Active;
Tumon;Guam;Active;
Kalaeloa;Hawaii;Active;
Keyport NUWC;Washington;Active;
Grant Training Annex;Washington;Active;
West Point Military Reservation;New York;Active;
US Army Adelphi Laboratory Center;Maryland;Active;
Fort Detrick Glen Haven Annex;Maryland;Active;
Dam Neck;Virginia;Active;
ALF Fentress Chesapke;Virginia;Active;
NSWC Carderock;Maryland;Active;
Barrigada - NSA Andersen;Guam;Active;
Los Angeles Air Force Annex No4;California;Active;
Ellsworth AFB;South Dakota;Active;
Boise Air Terminal;Idaho;Active;
Hancock Field;New York;Active;
Montgomery Regional Airport ANGB;Alabama;Active;
Sky Harbor IAP;Arizona;Active;
Dix;New Jersey;Active;
Capital Airport;Illinois;Active;
NG Orchard Mates Boise;Idaho;Active;
NG Bend Cotef;Oregon;Active;
NG VTS Milan;Tennessee;Active;
NG Florence Military Reservation;Arizona;Active;
NG Cambridge Springs;Pennsylvania;Active;
NG Camp Williams Tomah MTA;Wisconsin;Active;
ALF Waldron;Texas;Active;
Holloman AFB;New Mexico;Active;
Bayview Idaho;Idaho;Active;
Fort Sill;Oklahoma;Active;
Red River Army Depot;Texas;Active;
Destin Moreno Point;Florida;Active;
MCSF Blount Island (FL);Florida;Active;
Brooklyn NY;New York;Active;
Northwest Chesapeake VA;Virginia;Active;
Naval Research Lab;District of Columbia;Active;
FLC Fuel Depot Heckscher;Florida;Active;
OLF Bravo;Mississippi;Active;
Eglin Air Force Auxiliary Field 6;Florida;Active;
Fort Eustis;Virginia;Active;
Pittsburgh IAP (ARS);Pennsylvania;Active;
NG MTA Camp Clark Nevada;Missouri;Active;
NG Arden Hills Army Training Site;Minnesota;Active;
NOLF Silverhill;Alabama;Active;
Long Beach Fuel Complex;California;Active;
Stewart Annex;New York;Active;
Joliet USARC/JTA;Illinois;Active;
OLF Bronson;Florida;Active;
Woolmarket (De Soto);Mississippi;Active;
Hanscom AFB;Massachusetts;Active;
Tinker Aerospace Complex;Oklahoma;Active;
USAF Academy Auxiliary Airfield;Colorado;Active;
Joint Base Charleston North Yard;South Carolina;Active;
Charlotte/Douglas IAP;North Carolina;Active;
NG Springfield (TS Cp Lincoln);Illinois;Active;
NG Camp Bowie - Musgrave (Fed);Texas;Active;
NG Camp Maxey;Texas;Active;
NG MTA-L Camp Williams;Utah;Active;
NG AASF Byrd Field;Virginia;Active;
NG Ft Ruger;Hawaii;Active;
Tanguisson Point;Guam;Active;
Dryside;California;Active;
National City;California;Active;
NAVSUPPACT Monterey CA;California;Active;
Los Angeles AFB;California;Active;
NAVSUPPACT Mechanicsburg PA;Pennsylvania;Active;
King Salmon Airport;Alaska;Active;
Sierra Army Depot;California;Active;
Seward Recreation Area;Alaska;Active;
Fallbrook California;California;Active;
NAVBASE Guam; Naval Magazine;Guam;Active
Arbuckle Airfield;Florida;Active;
Dare County Range;North Carolina;Active;
Melrose Air Force Range;New Mexico;Active;
Reno Tahoe IAP;Nevada;Active;
Rosecrans MAP (139AG);Missouri;Active;
Medical Center Annex;Texas;Active;
NG Bismarck RJB Complex;North Dakota;Active;
NG Esler Field;Louisiana;Active;
NG RW Shepherd Hope Hull;Alabama;Active;
NG SMD;Alabama;Active;
NG MTA Camp Curtis Guil;Massachusetts;Active;
NG AASF02 Birmingham;Alabama;Active;
NG Training Site;New Hampshire;Active;
NG Las Cruces;New Mexico;Active;
NG Lincoln AASF/Readiness Center;Nebraska;Active;
NG Lexington AASF No 1;Oklahoma;Active;
CNIC PMRF Barking Sands HI;Hawaii;Active;
Ford Island;Hawaii;Active;
NOLF Holley;Florida;Active;
Tooele Army Depot South;Utah;Active;
Goldberg Stagefield AL;Alabama;Active;
Wheeler Army Airfield;Hawaii;Active;
Milan AAP;Tennessee;Active;
Camp Frank D Merrill;Georgia;Active;
Allegany Ballistics Lab;West Virginia;Active;
Nimitz Hill;Guam;Active;
White Bluff;Washington;Active;
The Barry M Goldwater Air Force Range;Arizona;Active;
NG Hammond Airport;Louisiana;Active;
NG Lane County AFRC FMS 5;Oregon;Active;
NG Bog Brook Training Site;Maine;Active;
San Pedro Fuel Depot;California;Active;
Target 101 Shade Tree;California;Active;
Ramey AF Solar Observatory Research Site;Puerto Rico;Active;
Nellis Air Force Range;Nevada;Active;
